gene_id,assigned_peaks
adamts1,"['1-675266-675843', '1-679229-681654', '1-681885-682382', '1-683656-684691', '1-690382-691050']"
adamts5,"['1-704713-705585', '1-706447-706715', '1-707211-707790', '1-708567-709500', '1-710449-710892', '1-712604-713308', '1-713566-715026', '1-715441-715836', '1-716440-717118', '1-719944-720335', '1-721341-721542', '1-723049-723934']"
n6amt1,"['1-953587-953884', '1-955351-955692', '1-957061-957473', '1-958292-958501', '1-959585-960401', '1-960917-961921', '1-963072-963531', '1-964919-965785', '1-965787-966203', '1-967684-968461', '1-970182-970878']"
gart,"['1-996493-997770', '1-998126-998741', '1-999248-999691', '1-1002270-1002765', '1-1004162-1005851', '1-1006442-1007190', '1-1009726-1010464', '1-1011871-1012307']"
runx1,"['1-1487936-1489296', '1-1491832-1492031', '1-1492050-1493275', '1-1496125-1496610', '1-1496994-1497193', '1-1497697-1498277', '1-1499305-1499931', '1-1500913-1501210', '1-1502099-1503064', '1-1503978-1504930']"
urp2,"['1-1591725-1592678', '1-1592905-1593452', '1-1594263-1594660', '1-1596522-1597499', '1-1599467-1599961', '1-1601669-1601951', '1-1602157-1602495', '1-1603848-1605085', '1-1606903-1607308', '1-1609122-1609491']"
atp1a1a.4,"['1-1680676-1681412', '1-1683717-1684200', '1-1684592-1685235', '1-1686618-1687642', '1-1689443-1690775', '1-1692631-1692830', '1-1693193-1693397', '1-1693906-1694228', '1-1694640-1694973', '1-1695647-1695958', '1-1696447-1696816', '1-1698531-1699117']"
atp1a1a.1,"['1-1702872-1703543', '1-1703774-1704598', '1-1705464-1706311', '1-1708502-1709259', '1-1711669-1714248', '1-1714683-1715108', '1-1717661-1718001', '1-1720679-1721318', '1-1721458-1722128']"
atp1a1a.2,"['1-1781428-1781669', '1-1784835-1785164', '1-1787204-1788161', '1-1789160-1789770', '1-1790681-1790890', '1-1792315-1793667', '1-1795287-1795913', '1-1796007-1796536', '1-1796667-1797504']"
atp1a1a.3,"['1-1796007-1796536', '1-1796667-1797504', '1-1801153-1801479', '1-1802517-1803383', '1-1803768-1804138', '1-1805078-1805353', '1-1807016-1807243', '1-1807627-1808717', '1-1810598-1810937', '1-1812258-1813333', '1-1813759-1814458', '1-1814995-1815210']"
atp1a1a.5,"['1-1829956-1830666', '1-1831765-1832861', '1-1834671-1835334', '1-1837257-1837594', '1-1837995-1838199', '1-1839932-1840494', '1-1840953-1841187', '1-1841998-1842444', '1-1842597-1843248', '1-1843984-1845202', '1-1846204-1847047']"
si:ch211-132g1.3,"['1-1875789-1877072', '1-1879043-1879407', '1-1879575-1880073', '1-1882286-1883079', '1-1883964-1884692', '1-1884908-1886006', '1-1889778-1890634', '1-1891361-1891948', '1-1892090-1892289', '1-1893024-1893398', '1-1893769-1894200']"
si:ch211-132g1.4,"['1-1895699-1896763', '1-1900984-1901232', '1-1901306-1902766', '1-1903028-1903871', '1-1904019-1904482', '1-1906752-1907126', '1-1908491-1909920', '1-1910867-1911414', '1-1911561-1911981']"
si:ch211-132g1.1,"['1-1906752-1907126', '1-1908491-1909920', '1-1910867-1911414', '1-1911561-1911981', '1-1914635-1915109', '1-1915561-1916017', '1-1917369-1917638', '1-1924300-1925012']"
slc5a3a,"['1-2016415-2017349', '1-2018893-2019763', '1-2021775-2022334', '1-2024599-2024882', '1-2025016-2026926', '1-2030361-2031353', '1-2031867-2032217', '1-2032849-2033718']"
oxgr1a.1,"['1-2043780-2044222', '1-2047124-2048847', '1-2049135-2049638', '1-2051489-2051995', '1-2053206-2053407', '1-2054675-2055274', '1-2055561-2056286', '1-2057999-2058579', '1-2058722-2058946', '1-2059056-2059811', '1-2060526-2060781', '1-2061079-2061415']"
oxgr1a.3,"['1-2051489-2051995', '1-2053206-2053407', '1-2054675-2055274', '1-2055561-2056286', '1-2057999-2058579', '1-2058722-2058946', '1-2059056-2059811', '1-2060526-2060781', '1-2061079-2061415', '1-2063421-2063817', '1-2064361-2065064', '1-2070719-2070928']"
oxgr1a.2,"['1-2070719-2070928', '1-2074400-2075060', '1-2075150-2075901', '1-2077512-2078298', '1-2079822-2080541', '1-2082651-2083157', '1-2084972-2085345']"
mbnl2,"['1-2092650-2093258', '1-2093373-2093631', '1-2093680-2094533', '1-2095822-2096525', '1-2098140-2099194', '1-2100936-2103054', '1-2103768-2104495', '1-2107294-2107700', '1-2109082-2109693']"
rap2ab,"['1-2212420-2213332', '1-2214001-2214412', '1-2214936-2215633', '1-2217100-2217744', '1-2218051-2218250', '1-2220901-2222708', '1-2227635-2228806', '1-2229946-2231096']"
kpnb3,"['1-2252773-2253201', '1-2255274-2256095', '1-2256911-2257865', '1-2260015-2260822', '1-2261078-2262695', '1-2263467-2264401', '1-2267460-2267839', '1-2268424-2268754', '1-2269101-2269818']"
farp1,"['1-2294244-2294676', '1-2295862-2297401', '1-2298491-2299464', '1-2301420-2302503', '1-2303362-2303629', '1-2304113-2304808', '1-2305382-2306075', '1-2308022-2308735', '1-2308885-2309346', '1-2309689-2310447']"
si:ch211-235f1.3,"['1-2363860-2365023', '1-2366032-2367014']"
ggact.3,"['1-2439932-2440143', '1-2441474-2442189', '1-2443138-2444129', '1-2444885-2445252', '1-2445470-2446062', '1-2449067-2449748', '1-2450616-2450930', '1-2451156-2451470', '1-2451677-2452133', '1-2452603-2453311', '1-2455267-2455718', '1-2457116-2458015']"
ggact.2,"['1-2443138-2444129', '1-2444885-2445252', '1-2445470-2446062', '1-2449067-2449748', '1-2450616-2450930', '1-2451156-2451470', '1-2451677-2452133', '1-2452603-2453311', '1-2455267-2455718', '1-2457116-2458015', '1-2459235-2459714', '1-2460942-2462130']"
ggact.1,"['1-2449067-2449748', '1-2450616-2450930', '1-2451156-2451470', '1-2451677-2452133', '1-2452603-2453311', '1-2455267-2455718', '1-2457116-2458015', '1-2459235-2459714', '1-2460942-2462130', '1-2464596-2465288', '1-2465797-2466046']"
gpc6a,"['1-2703785-2704030', '1-2704111-2704699', '1-2705010-2705443', '1-2706416-2706954', '1-2707553-2707842', '1-2708238-2709118', '1-2709861-2710147', '1-2711870-2712261', '1-2712525-2713536', '1-2714027-2714641', '1-2720531-2721907']"
gpc5a,"['1-3285089-3285994', '1-3288149-3288971', '1-3290777-3291364', '1-3294885-3296077', '1-3296700-3296904', '1-3297416-3297715', '1-3297960-3300044', '1-3301604-3302667']"
dre-mir-19b,"['1-3288149-3288971', '1-3290777-3291364', '1-3294885-3296077', '1-3296700-3296904', '1-3297416-3297715', '1-3297960-3300044', '1-3301604-3302667', '1-3305516-3306577']"
dre-mir-20a,"['1-3288149-3288971', '1-3290777-3291364', '1-3294885-3296077', '1-3296700-3296904', '1-3297416-3297715', '1-3297960-3300044', '1-3301604-3302667', '1-3305516-3306577']"
dre-mir-19a,"['1-3288149-3288971', '1-3290777-3291364', '1-3294885-3296077', '1-3296700-3296904', '1-3297416-3297715', '1-3297960-3300044', '1-3301604-3302667', '1-3305516-3306577']"
slitrk6,"['1-4092921-4093463', '1-4093827-4094279', '1-4096628-4096905', '1-4097350-4097804', '1-4098890-4099610', '1-4101001-4102471']"
spry2,"['1-5264612-5265473', '1-5265811-5266149', '1-5268057-5269190', '1-5271229-5272185', '1-5273058-5274182', '1-5274439-5274723', '1-5275530-5276671', '1-5277540-5277757', '1-5278119-5278346', '1-5278707-5279580', '1-5281274-5282099']"
ndfip2,"['1-5384946-5385762', '1-5385945-5386668', '1-5388435-5389049', '1-5393532-5394875', '1-5396216-5396628', '1-5398624-5400175', '1-5402005-5403386']"
tuba8l2,"['1-5393532-5394875', '1-5396216-5396628', '1-5398624-5400175', '1-5402005-5403386', '1-5407319-5408377', '1-5408685-5409388', '1-5409732-5410036', '1-5410210-5410964']"
stk16,"['1-5414002-5414713', '1-5415283-5416058', '1-5418063-5418904', '1-5421862-5422948', '1-5425220-5425722', '1-5426513-5427275', '1-5429539-5430023', '1-5430149-5430910', '1-5431117-5431497']"
mnx2b,"['1-5445905-5446794', '1-5449666-5450210', '1-5452334-5453196', '1-5453323-5453937', '1-5454908-5455915', '1-5456870-5458088', '1-5458838-5459849', '1-5462074-5462787', '1-5462874-5463773']"
atic,"['1-5477917-5479805', '1-5480956-5481282', '1-5481479-5481909', '1-5483418-5486125', '1-5486863-5487612', '1-5489903-5490519', '1-5491713-5492336', '1-5492946-5493620', '1-5494735-5495640']"
fn1b,"['1-5534374-5534798', '1-5534993-5535192', '1-5536437-5537153', '1-5537334-5538259', '1-5540322-5541281', '1-5542320-5543298', '1-5544296-5545109', '1-5545334-5546163', '1-5547330-5547772', '1-5547895-5548482', '1-5548792-5549199', '1-5551042-5551394', '1-5551606-5552736']"
cpo,"['1-5568050-5568895', '1-5569305-5570642', '1-5570835-5571597', '1-5573192-5573952', '1-5574349-5575145', '1-5575813-5576157', '1-5576560-5577047', '1-5578372-5578739', '1-5579512-5580334', '1-5581053-5581939', '1-5584166-5584773']"
nrp2a,"['1-5739081-5740146', '1-5741540-5742415', '1-5742865-5743347', '1-5743765-5744467', '1-5744971-5746372', '1-5748377-5748890', '1-5751502-5752197', '1-5754664-5755551']"
pard3ba,"['1-6076596-6078136', '1-6079283-6079588', '1-6081580-6082479', '1-6083063-6083294', '1-6083539-6083845', '1-6084101-6085853', '1-6089924-6090222', '1-6090288-6090591', '1-6091401-6092316', '1-6093263-6093867', '1-6094632-6095481']"
abcb6a,"['1-6127027-6127969', '1-6128929-6129304', '1-6130632-6131044', '1-6131483-6131921', '1-6132172-6132677', '1-6134280-6135464', '1-6137495-6138103', '1-6139668-6140145', '1-6142889-6143414', '1-6144140-6145003']"
cnppd1,"['1-6152297-6152711', '1-6152755-6153096', '1-6153292-6154008', '1-6156636-6157642', '1-6157793-6158738', '1-6160924-6163015', '1-6164396-6164704', '1-6165063-6165508', '1-6168047-6168821', '1-6168983-6169502']"
prkag3a,"['1-6164396-6164704', '1-6165063-6165508', '1-6168047-6168821', '1-6168983-6169502', '1-6170790-6172073', '1-6175641-6175971', '1-6177223-6177675', '1-6178564-6179786']"
retreg2,"['1-6182194-6182704', '1-6182778-6183520', '1-6184398-6185349', '1-6185953-6186794', '1-6186944-6187531', '1-6187976-6188186', '1-6188384-6188809', '1-6189451-6190637', '1-6192033-6192717', '1-6195965-6196430', '1-6196467-6197042', '1-6198288-6199535']"
mdh1b,"['1-6215374-6215915', '1-6216713-6217283', '1-6219549-6221004', '1-6221579-6222466', '1-6223888-6224711', '1-6225163-6226725', '1-6227028-6227409', '1-6231013-6231260', '1-6232284-6232721', '1-6234305-6234840']"
fastkd2,"['1-6213310-6214241', '1-6215374-6215915', '1-6216713-6217283', '1-6219549-6221004', '1-6221579-6222466', '1-6223888-6224711', '1-6225163-6226725', '1-6227028-6227409', '1-6231013-6231260']"
gtf3c3,"['1-6234305-6234840', '1-6235351-6235645', '1-6238163-6238924', '1-6239562-6240461', '1-6240789-6241618', '1-6243395-6244576', '1-6244860-6245479', '1-6246930-6247306', '1-6247758-6248702', '1-6250106-6250362', '1-6251503-6252336', '1-6252546-6253624']"
hecw2b,"['1-6298536-6299409', '1-6299824-6300023', '1-6301210-6301594', '1-6303658-6304626', '1-6305446-6305666', '1-6306308-6307581', '1-6308010-6308372', '1-6311292-6311687', '1-6312042-6312241', '1-6312578-6312909', '1-6313702-6314366', '1-6315686-6316027']"
klf7a,"['1-6485998-6486826', '1-6489486-6490362', '1-6490602-6491412', '1-6493112-6494785', '1-6495901-6496669', '1-6496738-6497325', '1-6499376-6500123']"
si:ch211-93g23.2,"['1-6631389-6631978', '1-6632814-6633090', '1-6634176-6634499', '1-6635379-6635763', '1-6637962-6638522', '1-6638726-6640605', '1-6641104-6641365', '1-6644418-6645232', '1-6646088-6647265', '1-6647860-6648206', '1-6648448-6649113']"
ube2f,"['1-6637962-6638522', '1-6638726-6640605', '1-6641104-6641365', '1-6644418-6645232', '1-6646088-6647265', '1-6647860-6648206', '1-6648448-6649113', '1-6650155-6650534', '1-6652824-6653453', '1-6655375-6655856']"
erbb4a,"['1-6657461-6658294', '1-6658719-6659095', '1-6660678-6660877', '1-6662672-6663450', '1-6663660-6665122', '1-6666094-6668178', '1-6670537-6671404', '1-6673513-6674208', '1-6676066-6676569', '1-6676902-6677108']"
lancl1,"['1-7510544-7510889', '1-7512877-7513114', '1-7517134-7518613', '1-7520185-7520635', '1-7522290-7523510', '1-7523732-7524048', '1-7526359-7526885']"
mylz3,"['1-7537477-7537997', '1-7538535-7538995', '1-7540792-7541319', '1-7542010-7542778', '1-7545109-7545331', '1-7545884-7546493', '1-7548680-7549188', '1-7550380-7550900', '1-7551495-7551740', '1-7553555-7554352', '1-7554776-7555625']"
pcnp,"['1-7548680-7549188', '1-7550380-7550900', '1-7551495-7551740', '1-7553555-7554352', '1-7554776-7555625', '1-7556398-7557650', '1-7562494-7563460']"
mxa,"['1-7562494-7563460', '1-7566805-7567621', '1-7568191-7568689', '1-7569258-7571272', '1-7574241-7575352', '1-7575398-7576360', '1-7577938-7578829']"
mxb,"['1-7594823-7595908', '1-7597665-7598550', '1-7599001-7599941', '1-7600334-7600914', '1-7601274-7602113', '1-7603239-7604102', '1-7605575-7606653', '1-7607396-7607663', '1-7607846-7608105', '1-7608135-7608699', '1-7609687-7610674', '1-7610998-7611202']"
efnb2b,"['1-7649795-7650241', '1-7651715-7652544', '1-7653387-7654806', '1-7656971-7657402', '1-7659191-7660238', '1-7662646-7662886', '1-7665735-7666035', '1-7667173-7667727']"
arglu1b,"['1-7665735-7666035', '1-7667173-7667727', '1-7670269-7670541', '1-7672442-7673556', '1-7673928-7674972', '1-7675645-7676126', '1-7677448-7677910', '1-7678932-7680184', '1-7682041-7682917']"
en1b,"['1-7670269-7670541', '1-7672442-7673556', '1-7673928-7674972', '1-7675645-7676126', '1-7677448-7677910', '1-7678932-7680184', '1-7682041-7682917', '1-7683935-7684786', '1-7687103-7688327']"
radil,"['1-7885404-7886081', '1-7886954-7887156', '1-7887992-7888191', '1-7888732-7889631', '1-7892123-7892839', '1-7893102-7894415', '1-7897768-7898698', '1-7899373-7899572', '1-7899822-7900535', '1-7902163-7902470', '1-7902553-7903045', '1-7903461-7903733']"
si:dkeyp-9d4.3,"['1-8091896-8092095', '1-8093271-8093607', '1-8096321-8097502', '1-8099688-8101748', '1-8104624-8105128', '1-8105932-8106212', '1-8109094-8109560', '1-8109700-8110613']"
grapb,"['1-8187572-8188843', '1-8191213-8191702', '1-8191867-8192515', '1-8194576-8195441', '1-8195930-8196862', '1-8197071-8197906', '1-8199329-8199707', '1-8201572-8202288']"
cacna1hb,"['1-8295295-8296079', '1-8296406-8296965', '1-8298580-8298974', '1-8299974-8300332', '1-8301975-8302857', '1-8304611-8305106', '1-8306476-8307165', '1-8308547-8309207', '1-8309618-8310366', '1-8312168-8312886', '1-8313511-8314188']"
syngr3b,"['1-8422227-8422543', '1-8422779-8423333', '1-8426336-8426722', '1-8428048-8428929', '1-8432081-8432390', '1-8433745-8434444', '1-8436912-8437756', '1-8438280-8438593']"
myo15ab,"['1-8426336-8426722', '1-8428048-8428929', '1-8432081-8432390', '1-8433745-8434444', '1-8436912-8437756', '1-8438280-8438593', '1-8439082-8439347', '1-8440673-8440946']"
alkbh5,"['1-8498858-8499245', '1-8499701-8500545', '1-8501025-8501336', '1-8502647-8503431', '1-8504898-8505706', '1-8508302-8509877', '1-8510122-8510947', '1-8511475-8512413', '1-8515751-8516835', '1-8517733-8518193']"
mief2,"['1-8511475-8512413', '1-8515751-8516835', '1-8517733-8518193', '1-8518808-8519490', '1-8520980-8522311', '1-8523758-8524499', '1-8525089-8525335', '1-8526879-8527305', '1-8527941-8528793', '1-8529723-8530415']"
smcr8b,"['1-8525089-8525335', '1-8526879-8527305', '1-8527941-8528793', '1-8529723-8530415', '1-8531235-8531633', '1-8533522-8534605', '1-8534909-8535461', '1-8535888-8537423', '1-8539175-8539559', '1-8543158-8543806']"
zgc:112980,"['1-8546450-8546822', '1-8552064-8553573', '1-8557640-8558440', '1-8558474-8558843', '1-8559006-8559282', '1-8559593-8560178', '1-8561427-8561870']"
ptcd1,"['1-8557640-8558440', '1-8558474-8558843', '1-8559006-8559282', '1-8559593-8560178', '1-8561427-8561870', '1-8563664-8564179', '1-8565181-8565396', '1-8565500-8566901', '1-8567743-8568505', '1-8571472-8571853', '1-8572374-8573337']"
fbxl18,"['1-8637713-8637945', '1-8638104-8638304', '1-8638387-8638618', '1-8639393-8640122', '1-8642606-8644160', '1-8646604-8647636', '1-8649583-8650991', '1-8651397-8652844', '1-8653322-8654276', '1-8654902-8655108', '1-8655380-8656348']"
actb1,"['1-8646604-8647636', '1-8649583-8650991', '1-8651397-8652844', '1-8653322-8654276', '1-8654902-8655108', '1-8655380-8656348', '1-8659836-8660050', '1-8660578-8661559']"
fscn1b,"['1-8653322-8654276', '1-8654902-8655108', '1-8655380-8656348', '1-8659836-8660050', '1-8660578-8661559', '1-8662117-8663331', '1-8664127-8664997', '1-8665592-8666695', '1-8667337-8668249', '1-8669378-8670528']"
abcg2b,"['1-8689032-8689961', '1-8691276-8692526', '1-8693314-8695841', '1-8701502-8702001']"
grin2ab,"['1-8910051-8910350', '1-8911163-8911366', '1-8911840-8912451', '1-8916098-8918349', '1-8922912-8923173']"
socs1b,"['1-8956422-8956621', '1-8957704-8957903', '1-8959541-8959854', '1-8960506-8960948', '1-8961432-8961663', '1-8962799-8963482', '1-8965347-8966561', '1-8967960-8968514', '1-8968762-8969021', '1-8969917-8970275', '1-8971062-8971338', '1-8974842-8975453']"
si:ch73-191k20.3,"['1-8971062-8971338', '1-8974842-8975453', '1-8977287-8978193', '1-8980428-8981222', '1-8981279-8981704', '1-8982758-8983287', '1-8983385-8984107', '1-8986380-8987080', '1-8987621-8988547', '1-8989818-8990529']"
tlr2,"['1-8974842-8975453', '1-8977287-8978193', '1-8980428-8981222', '1-8981279-8981704', '1-8982758-8983287', '1-8983385-8984107', '1-8986380-8987080', '1-8987621-8988547', '1-8989818-8990529', '1-8991537-8991991', '1-8992181-8992485']"
prkcba,"['1-8995160-8995772', '1-8996414-8996784', '1-8997245-8997653', '1-8998015-8998623', '1-9000600-9001101', '1-9003726-9004069', '1-9004300-9005804', '1-9006325-9006641', '1-9008922-9009378', '1-9011328-9011630', '1-9013353-9013874']"
cacng3a,"['1-9074335-9074956', '1-9077458-9078193', '1-9078329-9078975', '1-9080305-9080730', '1-9081843-9082688', '1-9085246-9086342', '1-9087502-9088699', '1-9091110-9091588']"
si:ch211-14k19.8,"['1-9106659-9107562', '1-9109437-9109814', '1-9110864-9111630', '1-9113254-9114268', '1-9114419-9115841', '1-9116250-9116885', '1-9118821-9119046', '1-9121284-9121722', '1-9122252-9123583']"
ndufab1a,"['1-9114419-9115841', '1-9116250-9116885', '1-9118821-9119046', '1-9121284-9121722', '1-9122252-9123583', '1-9128069-9128309', '1-9130416-9131011', '1-9131347-9131758']"
palb2,"['1-9128069-9128309', '1-9130416-9131011', '1-9131347-9131758', '1-9133006-9134593', '1-9135447-9136613', '1-9141331-9141542', '1-9141801-9142020']"
rasd3,"['1-9135447-9136613', '1-9141331-9141542', '1-9141801-9142020', '1-9144474-9145670', '1-9146433-9146765', '1-9147407-9147735', '1-9147929-9148190', '1-9152029-9152233', '1-9152729-9154198']"
plk1,"['1-9144474-9145670', '1-9146433-9146765', '1-9147407-9147735', '1-9147929-9148190', '1-9152029-9152233', '1-9152729-9154198', '1-9154541-9155266', '1-9155843-9156388', '1-9161201-9161517']"
ern2,"['1-9186501-9186973', '1-9187430-9188341', '1-9189542-9190559', '1-9190633-9191191', '1-9191727-9192533', '1-9193915-9194573', '1-9195135-9196140', '1-9196628-9197036', '1-9197605-9198355', '1-9198700-9199359', '1-9200222-9201020', '1-9203063-9204039']"
chtf18,"['1-9189542-9190559', '1-9190633-9191191', '1-9191727-9192533', '1-9193915-9194573', '1-9195135-9196140', '1-9196628-9197036', '1-9197605-9198355', '1-9198700-9199359', '1-9200222-9201020', '1-9203063-9204039', '1-9205607-9205968', '1-9207099-9207632']"
gng13a,"['1-9220931-9221205', '1-9222300-9222912', '1-9225589-9226328', '1-9226611-9226852', '1-9227125-9227388', '1-9229917-9230252', '1-9230970-9232116', '1-9233041-9235315']"
