gene_id,assigned_peaks
f7i,"['1-108992-110074', '1-110381-110748', '1-110951-111623', '1-112224-112871', '1-114755-115737', '1-116940-117676', '1-117922-118235', '1-119674-120367', '1-121512-121806', '1-122058-122383', '1-124135-124688', '1-126579-127386', '1-128797-129190', '1-130846-131418', '1-131723-132528', '1-133103-133602', '1-134010-134240', '1-135787-137043', '1-139315-140438', '1-140831-141737', '1-143822-145547', '1-145767-146157']"
f10,"['1-116940-117676', '1-117922-118235', '1-119674-120367', '1-121512-121806', '1-122058-122383', '1-124135-124688', '1-126579-127386', '1-128797-129190', '1-130846-131418', '1-131723-132528', '1-133103-133602', '1-134010-134240', '1-135787-137043', '1-139315-140438', '1-140831-141737', '1-143822-145547', '1-145767-146157', '1-147530-148035', '1-148154-148910', '1-150508-151643', '1-152732-152986', '1-153483-154809']"
prozb,"['1-126579-127386', '1-128797-129190', '1-130846-131418', '1-131723-132528', '1-133103-133602', '1-134010-134240', '1-135787-137043', '1-139315-140438', '1-140831-141737', '1-143822-145547', '1-145767-146157', '1-147530-148035', '1-148154-148910', '1-150508-151643', '1-152732-152986', '1-153483-154809', '1-155664-156408', '1-156845-158257', '1-160325-161322', '1-161952-162755']"
pcid2,"['1-139315-140438', '1-140831-141737', '1-143822-145547', '1-145767-146157', '1-147530-148035', '1-148154-148910', '1-150508-151643', '1-152732-152986', '1-153483-154809', '1-155664-156408', '1-156845-158257', '1-160325-161322', '1-161952-162755', '1-165152-165499', '1-167834-168317', '1-168693-169153', '1-169835-170413', '1-170755-170988', '1-171416-172379', '1-173932-174313', '1-174638-175062']"
cul4a,"['1-139315-140438', '1-140831-141737', '1-143822-145547', '1-145767-146157', '1-147530-148035', '1-148154-148910', '1-150508-151643', '1-152732-152986', '1-153483-154809', '1-155664-156408', '1-156845-158257', '1-160325-161322', '1-161952-162755', '1-165152-165499', '1-167834-168317', '1-168693-169153', '1-169835-170413', '1-170755-170988', '1-171416-172379', '1-173932-174313', '1-174638-175062', '1-176725-177664']"
lamp1a,"['1-152732-152986', '1-153483-154809', '1-155664-156408', '1-156845-158257', '1-160325-161322', '1-161952-162755', '1-165152-165499', '1-167834-168317', '1-168693-169153', '1-169835-170413', '1-170755-170988', '1-171416-172379', '1-173932-174313', '1-174638-175062', '1-176725-177664', '1-179506-180270', '1-181585-181839', '1-182057-183453', '1-185977-186933', '1-187385-187744', '1-188418-188835', '1-189516-191111']"
grtp1a,"['1-173932-174313', '1-174638-175062', '1-176725-177664', '1-179506-180270', '1-181585-181839', '1-182057-183453', '1-185977-186933', '1-187385-187744', '1-188418-188835', '1-189516-191111', '1-191607-192263', '1-192559-193479', '1-194963-195528', '1-196604-197467', '1-197590-198481', '1-199442-199946', '1-200795-201485', '1-201505-203160', '1-204095-205694', '1-205820-206383', '1-210127-211043']"
adprhl1,"['1-187385-187744', '1-188418-188835', '1-189516-191111', '1-191607-192263', '1-192559-193479', '1-194963-195528', '1-196604-197467', '1-197590-198481', '1-199442-199946', '1-200795-201485', '1-201505-203160', '1-204095-205694', '1-205820-206383', '1-210127-211043', '1-211255-212245', '1-212955-213256', '1-213880-215487', '1-217215-217640', '1-218463-218855', '1-220873-222089']"
dcun1d2b,"['1-194963-195528', '1-196604-197467', '1-197590-198481', '1-199442-199946', '1-200795-201485', '1-201505-203160', '1-204095-205694', '1-205820-206383', '1-210127-211043', '1-211255-212245', '1-212955-213256', '1-213880-215487', '1-217215-217640', '1-218463-218855', '1-220873-222089', '1-226071-226293', '1-226567-227795', '1-228066-228306', '1-228910-229339', '1-230004-230333', '1-232638-233230', '1-233390-233811']"
tmco3,"['1-194963-195528', '1-196604-197467', '1-197590-198481', '1-199442-199946', '1-200795-201485', '1-201505-203160', '1-204095-205694', '1-205820-206383', '1-210127-211043', '1-211255-212245', '1-212955-213256', '1-213880-215487', '1-217215-217640', '1-218463-218855', '1-220873-222089', '1-226071-226293', '1-226567-227795', '1-228066-228306', '1-228910-229339', '1-230004-230333', '1-232638-233230', '1-233390-233811']"
tfdp1b,"['1-210127-211043', '1-211255-212245', '1-212955-213256', '1-213880-215487', '1-217215-217640', '1-218463-218855', '1-220873-222089', '1-226071-226293', '1-226567-227795', '1-228066-228306', '1-228910-229339', '1-230004-230333', '1-232638-233230', '1-233390-233811', '1-234842-235895', '1-236090-236916', '1-237082-237385', '1-238000-238590', '1-241164-241510', '1-241913-242923', '1-243893-244671', '1-244776-245905']"
grk1a,"['1-226071-226293', '1-226567-227795', '1-228066-228306', '1-228910-229339', '1-230004-230333', '1-232638-233230', '1-233390-233811', '1-234842-235895', '1-236090-236916', '1-237082-237385', '1-238000-238590', '1-241164-241510', '1-241913-242923', '1-243893-244671', '1-244776-245905', '1-246653-246925', '1-247661-247946', '1-248165-248422', '1-249755-250588', '1-251521-252269', '1-253979-254246', '1-255603-255917', '1-256849-257455', '1-257485-258027', '1-259088-260325', '1-260726-261080']"
cenpe,"['1-241164-241510', '1-241913-242923', '1-243893-244671', '1-244776-245905', '1-246653-246925', '1-247661-247946', '1-248165-248422', '1-249755-250588', '1-251521-252269', '1-253979-254246', '1-255603-255917', '1-256849-257455', '1-257485-258027', '1-259088-260325', '1-260726-261080', '1-264755-265608', '1-267649-267903', '1-269386-269973', '1-271284-271844', '1-273570-274150', '1-274514-274724', '1-275119-275552', '1-276085-276405', '1-276653-277144', '1-278230-278633']"
gas6,"['1-318545-319659', '1-320533-321335', '1-323237-324172', '1-325557-326559', '1-326642-326925', '1-328710-329657', '1-329810-330435', '1-331363-331697', '1-331789-332457', '1-334349-334813', '1-335959-336355', '1-337110-338503', '1-339446-340303', '1-341030-341469', '1-343288-343945', '1-344086-345345', '1-345628-346070', '1-346591-346957', '1-348380-348950', '1-349917-350409', '1-351582-352592', '1-352898-354233', '1-357091-357998']"
pros1,"['1-334349-334813', '1-335959-336355', '1-337110-338503', '1-339446-340303', '1-341030-341469', '1-343288-343945', '1-344086-345345', '1-345628-346070', '1-346591-346957', '1-348380-348950', '1-349917-350409', '1-351582-352592', '1-352898-354233', '1-357091-357998', '1-358743-359232', '1-360155-360414', '1-361268-362114', '1-364152-365025', '1-365056-365598', '1-365752-366008', '1-366244-366537', '1-366608-367243', '1-369386-370057', '1-370468-371686', '1-371908-372397', '1-372961-373242', '1-373460-373949']"
rasa3,"['1-391845-392229', '1-392432-392920', '1-393805-394564', '1-394616-395104', '1-396478-397208', '1-397893-398350', '1-398811-399417', '1-399629-399981', '1-400491-400920', '1-407066-407427', '1-408216-409064', '1-409760-411590', '1-413060-413953', '1-415001-415915', '1-416524-417177', '1-418383-420003', '1-421718-422829', '1-424062-424507', '1-426268-427132', '1-427967-428296', '1-428801-429544', '1-430743-431201']"
tpp2,"['1-399629-399981', '1-400491-400920', '1-407066-407427', '1-408216-409064', '1-409760-411590', '1-413060-413953', '1-415001-415915', '1-416524-417177', '1-418383-420003', '1-421718-422829', '1-424062-424507', '1-426268-427132', '1-427967-428296', '1-428801-429544', '1-430743-431201', '1-432787-433918', '1-436509-437446', '1-437920-438591']"
ercc5,"['1-475451-476451', '1-476566-477383', '1-477746-478142', '1-478826-480320', '1-482058-482727', '1-483643-484417', '1-486217-487306', '1-488073-488392', '1-489015-489839', '1-491498-492459', '1-492673-493428', '1-493798-494859', '1-496619-497188', '1-499025-499708', '1-501078-501517', '1-501669-502067', '1-503779-504879', '1-505095-505915', '1-506349-506683', '1-509086-510095', '1-511313-512268']"
blzf1,"['1-475451-476451', '1-476566-477383', '1-477746-478142', '1-478826-480320', '1-482058-482727', '1-483643-484417', '1-486217-487306', '1-488073-488392', '1-489015-489839', '1-491498-492459', '1-492673-493428', '1-493798-494859', '1-496619-497188', '1-499025-499708', '1-501078-501517', '1-501669-502067', '1-503779-504879', '1-505095-505915', '1-506349-506683', '1-509086-510095', '1-511313-512268']"
trmt10c,"['1-493798-494859', '1-496619-497188', '1-499025-499708', '1-501078-501517', '1-501669-502067', '1-503779-504879', '1-505095-505915', '1-506349-506683', '1-509086-510095', '1-511313-512268', '1-513133-514315', '1-514658-514923', '1-517205-517542', '1-518768-519117', '1-520183-520881', '1-522059-522814', '1-524177-525148', '1-525298-525687', '1-526827-527767', '1-528286-529156', '1-530115-530763', '1-531994-533687']"
txnl4b,"['1-496619-497188', '1-499025-499708', '1-501078-501517', '1-501669-502067', '1-503779-504879', '1-505095-505915', '1-506349-506683', '1-509086-510095', '1-511313-512268', '1-513133-514315', '1-514658-514923', '1-517205-517542', '1-518768-519117', '1-520183-520881', '1-522059-522814', '1-524177-525148', '1-525298-525687', '1-526827-527767', '1-528286-529156', '1-530115-530763', '1-531994-533687']"
si:ch73-41e3.7,"['1-505095-505915', '1-506349-506683', '1-509086-510095', '1-511313-512268', '1-513133-514315', '1-514658-514923', '1-517205-517542', '1-518768-519117', '1-520183-520881', '1-522059-522814', '1-524177-525148', '1-525298-525687', '1-526827-527767', '1-528286-529156', '1-530115-530763', '1-531994-533687', '1-538394-539370', '1-540149-540611']"
mrpl16,"['1-505095-505915', '1-506349-506683', '1-509086-510095', '1-511313-512268', '1-513133-514315', '1-514658-514923', '1-517205-517542', '1-518768-519117', '1-520183-520881', '1-522059-522814', '1-524177-525148', '1-525298-525687', '1-526827-527767', '1-528286-529156', '1-530115-530763', '1-531994-533687', '1-538394-539370', '1-540149-540611']"
mrpl39,"['1-562823-563441', '1-565567-566156', '1-566982-568003', '1-568528-568856', '1-569235-569527', '1-570751-572252', '1-574421-575112', '1-575724-576230', '1-579685-581163', '1-582111-582962', '1-585889-586302', '1-588116-588357', '1-588518-589138', '1-591127-591561', '1-592424-592803', '1-594019-595172', '1-596565-597632', '1-598381-598844', '1-599733-600303']"
jam2a,"['1-575724-576230', '1-579685-581163', '1-582111-582962', '1-585889-586302', '1-588116-588357', '1-588518-589138', '1-591127-591561', '1-592424-592803', '1-594019-595172', '1-596565-597632', '1-598381-598844', '1-599733-600303', '1-601500-602253', '1-602799-603398', '1-604131-604477', '1-604858-606297', '1-607669-608452', '1-608514-608922', '1-610459-611411']"
atp5pf,"['1-596565-597632', '1-598381-598844', '1-599733-600303', '1-601500-602253', '1-602799-603398', '1-604131-604477', '1-604858-606297', '1-607669-608452', '1-608514-608922', '1-610459-611411', '1-613411-614866', '1-616806-617603', '1-618141-618553', '1-618777-619057', '1-621216-622030', '1-624213-625811', '1-626066-626693', '1-628374-629237', '1-629553-630479', '1-632996-633828']"
appa,"['1-639686-640074', '1-640338-641999', '1-643233-644923', '1-647694-648617', '1-650630-651343', '1-651744-652129', '1-655203-656946', '1-658145-658839', '1-659028-659324', '1-660248-661137', '1-661463-662321', '1-663191-664254', '1-664848-665592', '1-665988-666526', '1-667285-667795', '1-669170-670930', '1-671056-671291', '1-675266-675843']"
cyyr1,"['1-650630-651343', '1-651744-652129', '1-655203-656946', '1-658145-658839', '1-659028-659324', '1-660248-661137', '1-661463-662321', '1-663191-664254', '1-664848-665592', '1-665988-666526', '1-667285-667795', '1-669170-670930', '1-671056-671291', '1-675266-675843', '1-679229-681654', '1-681885-682382', '1-683656-684691']"
adamts1,"['1-661463-662321', '1-663191-664254', '1-664848-665592', '1-665988-666526', '1-667285-667795', '1-669170-670930', '1-671056-671291', '1-675266-675843', '1-679229-681654', '1-681885-682382', '1-683656-684691', '1-690382-691050', '1-691086-691285', '1-691326-692529', '1-694512-694888', '1-695172-695613', '1-695776-696640', '1-697419-698371']"
adamts5,"['1-695172-695613', '1-695776-696640', '1-697419-698371', '1-700097-701461', '1-701772-702653', '1-704713-705585', '1-706447-706715', '1-707211-707790', '1-708567-709500', '1-710449-710892', '1-712604-713308', '1-713566-715026', '1-715441-715836', '1-716440-717118', '1-719944-720335', '1-721341-721542', '1-723049-723934', '1-725512-725861', '1-727139-727519', '1-728508-729652', '1-731268-731841', '1-732615-733051']"
n6amt1,"['1-943793-944571', '1-945090-945535', '1-945977-946540', '1-949103-950057', '1-951392-952263', '1-953587-953884', '1-955351-955692', '1-957061-957473', '1-958292-958501', '1-959585-960401', '1-960917-961921', '1-963072-963531', '1-964919-965785', '1-965787-966203', '1-967684-968461', '1-970182-970878', '1-971367-971765', '1-972738-973788', '1-975629-976518', '1-976655-976916', '1-977284-977563', '1-980243-981416']"
gart,"['1-985438-985785', '1-986030-986310', '1-986619-987231', '1-988410-989410', '1-991298-992371', '1-992743-992998', '1-993687-994177', '1-994693-995394', '1-996493-997770', '1-998126-998741', '1-999248-999691', '1-1002270-1002765', '1-1004162-1005851', '1-1006442-1007190', '1-1009726-1010464', '1-1011871-1012307', '1-1013988-1015982', '1-1020164-1020384', '1-1021104-1021595', '1-1021784-1022638', '1-1022900-1023460', '1-1024022-1024723']"
runx1,"['1-1477399-1477883', '1-1478735-1479781', '1-1479962-1480873', '1-1481603-1482052', '1-1483423-1483705', '1-1485745-1486556', '1-1487936-1489296', '1-1491832-1492031', '1-1492050-1493275', '1-1496125-1496610', '1-1496994-1497193', '1-1497697-1498277', '1-1499305-1499931', '1-1500913-1501210', '1-1502099-1503064', '1-1503978-1504930', '1-1506670-1507401', '1-1507535-1508250', '1-1509706-1511315', '1-1512392-1513014', '1-1516005-1516272']"
urp2,"['1-1580660-1581092', '1-1581453-1581849', '1-1582017-1582472', '1-1582813-1583336', '1-1584133-1585732', '1-1589220-1589861', '1-1591725-1592678', '1-1592905-1593452', '1-1594263-1594660', '1-1596522-1597499', '1-1599467-1599961', '1-1601669-1601951', '1-1602157-1602495', '1-1603848-1605085', '1-1606903-1607308', '1-1609122-1609491', '1-1609652-1610213', '1-1612521-1612854', '1-1613114-1613351', '1-1613891-1614090', '1-1614166-1614608', '1-1615830-1616208', '1-1617227-1617426', '1-1618022-1619423']"
atp1a1a.4,"['1-1670349-1670657', '1-1672000-1672468', '1-1674746-1675530', '1-1676889-1677909', '1-1678207-1678602', '1-1678695-1679372', '1-1680676-1681412', '1-1683717-1684200', '1-1684592-1685235', '1-1686618-1687642', '1-1689443-1690775', '1-1692631-1692830', '1-1693193-1693397', '1-1693906-1694228', '1-1694640-1694973', '1-1695647-1695958', '1-1696447-1696816', '1-1698531-1699117', '1-1699257-1700073', '1-1700539-1700933', '1-1701337-1702034', '1-1702872-1703543', '1-1703774-1704598', '1-1705464-1706311', '1-1708502-1709259']"
atp1a1a.1,"['1-1692631-1692830', '1-1693193-1693397', '1-1693906-1694228', '1-1694640-1694973', '1-1695647-1695958', '1-1696447-1696816', '1-1698531-1699117', '1-1699257-1700073', '1-1700539-1700933', '1-1701337-1702034', '1-1702872-1703543', '1-1703774-1704598', '1-1705464-1706311', '1-1708502-1709259', '1-1711669-1714248', '1-1714683-1715108', '1-1717661-1718001', '1-1720679-1721318', '1-1721458-1722128', '1-1722494-1722781', '1-1722941-1724566', '1-1726080-1726279', '1-1728703-1729761', '1-1730296-1730745']"
atp1a1a.2,"['1-1772154-1772648', '1-1775106-1776473', '1-1778124-1778682', '1-1781428-1781669', '1-1784835-1785164', '1-1787204-1788161', '1-1789160-1789770', '1-1790681-1790890', '1-1792315-1793667', '1-1795287-1795913', '1-1796007-1796536', '1-1796667-1797504', '1-1801153-1801479', '1-1802517-1803383', '1-1803768-1804138', '1-1805078-1805353', '1-1807016-1807243', '1-1807627-1808717']"
atp1a1a.3,"['1-1787204-1788161', '1-1789160-1789770', '1-1790681-1790890', '1-1792315-1793667', '1-1795287-1795913', '1-1796007-1796536', '1-1796667-1797504', '1-1801153-1801479', '1-1802517-1803383', '1-1803768-1804138', '1-1805078-1805353', '1-1807016-1807243', '1-1807627-1808717', '1-1810598-1810937', '1-1812258-1813333', '1-1813759-1814458', '1-1814995-1815210', '1-1818132-1818571', '1-1818703-1818912', '1-1820146-1820752', '1-1821191-1821453', '1-1822637-1822996']"
atp1a1a.5,"['1-1818703-1818912', '1-1820146-1820752', '1-1821191-1821453', '1-1822637-1822996', '1-1824930-1825487', '1-1825773-1826197', '1-1827418-1828047', '1-1829956-1830666', '1-1831765-1832861', '1-1834671-1835334', '1-1837257-1837594', '1-1837995-1838199', '1-1839932-1840494', '1-1840953-1841187', '1-1841998-1842444', '1-1842597-1843248', '1-1843984-1845202', '1-1846204-1847047', '1-1849144-1849722', '1-1851262-1851461', '1-1853493-1853891', '1-1854470-1855182', '1-1856452-1857103']"
si:ch211-132g1.3,"['1-1875789-1877072', '1-1879043-1879407', '1-1879575-1880073', '1-1882286-1883079', '1-1883964-1884692', '1-1884908-1886006', '1-1889778-1890634', '1-1891361-1891948', '1-1892090-1892289', '1-1893024-1893398', '1-1893769-1894200', '1-1895699-1896763', '1-1900984-1901232', '1-1901306-1902766', '1-1903028-1903871', '1-1904019-1904482']"
si:ch211-132g1.4,"['1-1884908-1886006', '1-1889778-1890634', '1-1891361-1891948', '1-1892090-1892289', '1-1893024-1893398', '1-1893769-1894200', '1-1895699-1896763', '1-1900984-1901232', '1-1901306-1902766', '1-1903028-1903871', '1-1904019-1904482', '1-1906752-1907126', '1-1908491-1909920', '1-1910867-1911414', '1-1911561-1911981', '1-1914635-1915109', '1-1915561-1916017', '1-1917369-1917638']"
si:ch211-132g1.1,"['1-1900984-1901232', '1-1901306-1902766', '1-1903028-1903871', '1-1904019-1904482', '1-1906752-1907126', '1-1908491-1909920', '1-1910867-1911414', '1-1911561-1911981', '1-1914635-1915109', '1-1915561-1916017', '1-1917369-1917638', '1-1924300-1925012', '1-1925957-1926210', '1-1927088-1928289', '1-1929018-1929615', '1-1930461-1930894', '1-1931448-1932071', '1-1932710-1932921', '1-1934758-1934957']"
slc5a3a,"['1-2007171-2007605', '1-2008563-2008823', '1-2009030-2009376', '1-2010480-2011006', '1-2013167-2013773', '1-2016415-2017349', '1-2018893-2019763', '1-2021775-2022334', '1-2024599-2024882', '1-2025016-2026926', '1-2030361-2031353', '1-2031867-2032217', '1-2032849-2033718', '1-2035124-2035649', '1-2037177-2037569', '1-2038151-2038419', '1-2038761-2039242', '1-2043780-2044222']"
oxgr1a.1,"['1-2031867-2032217', '1-2032849-2033718', '1-2035124-2035649', '1-2037177-2037569', '1-2038151-2038419', '1-2038761-2039242', '1-2043780-2044222', '1-2047124-2048847', '1-2049135-2049638', '1-2051489-2051995', '1-2053206-2053407', '1-2054675-2055274', '1-2055561-2056286', '1-2057999-2058579', '1-2058722-2058946', '1-2059056-2059811', '1-2060526-2060781', '1-2061079-2061415', '1-2063421-2063817', '1-2064361-2065064', '1-2070719-2070928']"
oxgr1a.3,"['1-2043780-2044222', '1-2047124-2048847', '1-2049135-2049638', '1-2051489-2051995', '1-2053206-2053407', '1-2054675-2055274', '1-2055561-2056286', '1-2057999-2058579', '1-2058722-2058946', '1-2059056-2059811', '1-2060526-2060781', '1-2061079-2061415', '1-2063421-2063817', '1-2064361-2065064', '1-2070719-2070928', '1-2074400-2075060', '1-2075150-2075901', '1-2077512-2078298', '1-2079822-2080541']"
oxgr1a.2,"['1-2055561-2056286', '1-2057999-2058579', '1-2058722-2058946', '1-2059056-2059811', '1-2060526-2060781', '1-2061079-2061415', '1-2063421-2063817', '1-2064361-2065064', '1-2070719-2070928', '1-2074400-2075060', '1-2075150-2075901', '1-2077512-2078298', '1-2079822-2080541', '1-2082651-2083157', '1-2084972-2085345', '1-2089860-2091486', '1-2092650-2093258', '1-2093373-2093631', '1-2093680-2094533']"
mbnl2,"['1-2082651-2083157', '1-2084972-2085345', '1-2089860-2091486', '1-2092650-2093258', '1-2093373-2093631', '1-2093680-2094533', '1-2095822-2096525', '1-2098140-2099194', '1-2100936-2103054', '1-2103768-2104495', '1-2107294-2107700', '1-2109082-2109693', '1-2112113-2113137', '1-2113508-2113962', '1-2118095-2119327', '1-2120020-2120249', '1-2120392-2121253']"
rap2ab,"['1-2203138-2203940', '1-2205254-2206602', '1-2209110-2209796', '1-2211458-2211749', '1-2212420-2213332', '1-2214001-2214412', '1-2214936-2215633', '1-2217100-2217744', '1-2218051-2218250', '1-2220901-2222708', '1-2227635-2228806', '1-2229946-2231096', '1-2232537-2233252', '1-2234986-2235913', '1-2236896-2237191', '1-2237635-2237834', '1-2238126-2238533', '1-2238953-2239737', '1-2239862-2240193']"
kpnb3,"['1-2242620-2243531', '1-2243866-2244423', '1-2244964-2245602', '1-2245971-2246980', '1-2248695-2249539', '1-2250234-2251169', '1-2252773-2253201', '1-2255274-2256095', '1-2256911-2257865', '1-2260015-2260822', '1-2261078-2262695', '1-2263467-2264401', '1-2267460-2267839', '1-2268424-2268754', '1-2269101-2269818', '1-2270549-2270929', '1-2273534-2273762', '1-2274012-2274310', '1-2275344-2276181', '1-2276481-2277061', '1-2278827-2279479']"
farp1,"['1-2283133-2283696', '1-2284696-2285639', '1-2285985-2286976', '1-2287343-2287663', '1-2288433-2288932', '1-2289270-2289851', '1-2294244-2294676', '1-2295862-2297401', '1-2298491-2299464', '1-2301420-2302503', '1-2303362-2303629', '1-2304113-2304808', '1-2305382-2306075', '1-2308022-2308735', '1-2308885-2309346', '1-2309689-2310447', '1-2312570-2313154', '1-2313763-2314143', '1-2315152-2315954', '1-2318119-2318659', '1-2319291-2320053', '1-2320881-2321571']"
si:ch211-235f1.3,"['1-2363860-2365023', '1-2366032-2367014', '1-2368781-2370020', '1-2370951-2371794', '1-2371978-2372672', '1-2373521-2373864']"
ggact.3,"['1-2430226-2430446', '1-2430912-2431998', '1-2433467-2433937', '1-2434479-2435085', '1-2435981-2436540', '1-2438602-2439198', '1-2439932-2440143', '1-2441474-2442189', '1-2443138-2444129', '1-2444885-2445252', '1-2445470-2446062', '1-2449067-2449748', '1-2450616-2450930', '1-2451156-2451470', '1-2451677-2452133', '1-2452603-2453311', '1-2455267-2455718', '1-2457116-2458015', '1-2459235-2459714', '1-2460942-2462130', '1-2464596-2465288', '1-2465797-2466046', '1-2466343-2468213']"
ggact.2,"['1-2433467-2433937', '1-2434479-2435085', '1-2435981-2436540', '1-2438602-2439198', '1-2439932-2440143', '1-2441474-2442189', '1-2443138-2444129', '1-2444885-2445252', '1-2445470-2446062', '1-2449067-2449748', '1-2450616-2450930', '1-2451156-2451470', '1-2451677-2452133', '1-2452603-2453311', '1-2455267-2455718', '1-2457116-2458015', '1-2459235-2459714', '1-2460942-2462130', '1-2464596-2465288', '1-2465797-2466046', '1-2466343-2468213', '1-2471989-2472681']"
ggact.1,"['1-2438602-2439198', '1-2439932-2440143', '1-2441474-2442189', '1-2443138-2444129', '1-2444885-2445252', '1-2445470-2446062', '1-2449067-2449748', '1-2450616-2450930', '1-2451156-2451470', '1-2451677-2452133', '1-2452603-2453311', '1-2455267-2455718', '1-2457116-2458015', '1-2459235-2459714', '1-2460942-2462130', '1-2464596-2465288', '1-2465797-2466046', '1-2466343-2468213', '1-2471989-2472681']"
gpc6a,"['1-2693123-2693322', '1-2694569-2695288', '1-2696399-2696862', '1-2697224-2698076', '1-2701062-2701811', '1-2702295-2702573', '1-2703785-2704030', '1-2704111-2704699', '1-2705010-2705443', '1-2706416-2706954', '1-2707553-2707842', '1-2708238-2709118', '1-2709861-2710147', '1-2711870-2712261', '1-2712525-2713536', '1-2714027-2714641', '1-2720531-2721907', '1-2722771-2723207', '1-2724778-2724985', '1-2726599-2727626', '1-2728141-2728709', '1-2728982-2730050', '1-2730548-2732044']"
gpc5a,"['1-3275824-3276197', '1-3277605-3278228', '1-3280745-3280962', '1-3281375-3282282', '1-3284265-3284767', '1-3285089-3285994', '1-3288149-3288971', '1-3290777-3291364', '1-3294885-3296077', '1-3296700-3296904', '1-3297416-3297715', '1-3297960-3300044', '1-3301604-3302667', '1-3305516-3306577', '1-3308034-3309068', '1-3311408-3311786', '1-3313135-3314726']"
dre-mir-19b,"['1-3277605-3278228', '1-3280745-3280962', '1-3281375-3282282', '1-3284265-3284767', '1-3285089-3285994', '1-3288149-3288971', '1-3290777-3291364', '1-3294885-3296077', '1-3296700-3296904', '1-3297416-3297715', '1-3297960-3300044', '1-3301604-3302667', '1-3305516-3306577', '1-3308034-3309068', '1-3311408-3311786', '1-3313135-3314726', '1-3315228-3315636']"
