gene_id,chr,start,end,strand,TSS,TSS_10kb_start,TSS_10kb_end,TSS_20kb_start,TSS_20kb_end,TSS_50kb_start,TSS_50kb_end,TSS_100kb_start,TSS_100kb_end,chr_number,chr_coord_10kb,chr_coord_20kb,chr_coord_50kb,chr_coord_100kb
runx1,NC_007112.7,1358644,1496652,-,1496652,1486652,1506652,1476652,1516652,1446652,1546652,1396652,1596652,1,1-1486652-1506652,1-1476652-1516652,1-1446652-1546652,1-1396652-1596652
urp2,NC_007112.7,1599979,1614496,+,1599979,1589979,1609979,1579979,1619979,1549979,1649979,1499979,1699979,1,1-1589979-1609979,1-1579979-1619979,1-1549979-1649979,1-1499979-1699979
atp1a1a.4,NC_007112.7,1689794,1706159,+,1689794,1679794,1699794,1669794,1709794,1639794,1739794,1589794,1789794,1,1-1679794-1699794,1-1669794-1709794,1-1639794-1739794,1-1589794-1789794
atp1a1a.1,NC_007112.7,1712169,1731564,+,1712169,1702169,1722169,1692169,1732169,1662169,1762169,1612169,1812169,1,1-1702169-1722169,1-1692169-1732169,1-1662169-1762169,1-1612169-1812169
atp1a1a.2,NC_007112.7,1789357,1796834,+,1789357,1779357,1799357,1769357,1809357,1739357,1839357,1689357,1889357,1,1-1779357-1799357,1-1769357-1809357,1-1739357-1839357,1-1689357-1889357
atp1a1a.3,NC_007112.7,1805294,1815660,+,1805294,1795294,1815294,1785294,1825294,1755294,1855294,1705294,1905294,1,1-1795294-1815294,1-1785294-1825294,1-1755294-1855294,1-1705294-1905294
atp1a1a.5,NC_007112.7,1838164,1850104,+,1838164,1828164,1848164,1818164,1858164,1788164,1888164,1738164,1938164,1,1-1828164-1848164,1-1818164-1858164,1-1788164-1888164,1-1738164-1938164
si:ch211-132g1.3,NC_007112.7,1858212,1885630,-,1885630,1875630,1895630,1865630,1905630,1835630,1935630,1785630,1985630,1,1-1875630-1895630,1-1865630-1905630,1-1835630-1935630,1-1785630-1985630
si:ch211-132g1.4,NC_007112.7,1904379,1911708,+,1904379,1894379,1914379,1884379,1924379,1854379,1954379,1804379,2004379,1,1-1894379-1914379,1-1884379-1924379,1-1854379-1954379,1-1804379-2004379
si:ch211-132g1.1,NC_007112.7,1915926,1928001,+,1915926,1905926,1925926,1895926,1935926,1865926,1965926,1815926,2015926,1,1-1905926-1925926,1-1895926-1935926,1-1865926-1965926,1-1815926-2015926
slc5a3a,NC_007112.7,2025085,2027100,+,2025085,2015085,2035085,2005085,2045085,1975085,2075085,1925085,2125085,1,1-2015085-2035085,1-2005085-2045085,1-1975085-2075085,1-1925085-2125085
oxgr1a.1,NC_007112.7,2048050,2051599,-,2051599,2041599,2061599,2031599,2071599,2001599,2101599,1951599,2151599,1,1-2041599-2061599,1-2031599-2071599,1-2001599-2101599,1-1951599-2151599
oxgr1a.3,NC_007112.7,2060430,2061419,-,2061419,2051419,2071419,2041419,2081419,2011419,2111419,1961419,2161419,1,1-2051419-2071419,1-2041419-2081419,1-2011419-2111419,1-1961419-2161419
oxgr1a.2,NC_007112.7,2074513,2075529,-,2075529,2065529,2085529,2055529,2095529,2025529,2125529,1975529,2175529,1,1-2065529-2085529,1-2055529-2095529,1-2025529-2125529,1-1975529-2175529
mbnl2,NC_007112.7,2101541,2217860,+,2101541,2091541,2111541,2081541,2121541,2051541,2151541,2001541,2201541,1,1-2091541-2111541,1-2081541-2121541,1-2051541-2151541,1-2001541-2201541
rap2ab,NC_007112.7,2222366,2240119,+,2222366,2212366,2232366,2202366,2242366,2172366,2272366,2122366,2322366,1,1-2212366-2232366,1-2202366-2242366,1-2172366-2272366,1-2122366-2322366
kpnb3,NC_007112.7,2260414,2299553,+,2260414,2250414,2270414,2240414,2280414,2210414,2310414,2160414,2360414,1,1-2250414-2270414,1-2240414-2280414,1-2210414-2310414,1-2160414-2360414
farp1,NC_007112.7,2301955,2446117,+,2301955,2291955,2311955,2281955,2321955,2251955,2351955,2201955,2401955,1,1-2291955-2311955,1-2281955-2321955,1-2251955-2351955,1-2201955-2401955
si:ch211-235f1.3,NC_007112.7,2331575,2357130,-,2357130,2347130,2367130,2337130,2377130,2307130,2407130,2257130,2457130,1,1-2347130-2367130,1-2337130-2377130,1-2307130-2407130,1-2257130-2457130
ggact.3,NC_007112.7,2447021,2449394,-,2449394,2439394,2459394,2429394,2469394,2399394,2499394,2349394,2549394,1,1-2439394-2459394,1-2429394-2469394,1-2399394-2499394,1-2349394-2549394
ggact.2,NC_007112.7,2450163,2453133,-,2453133,2443133,2463133,2433133,2473133,2403133,2503133,2353133,2553133,1,1-2443133-2463133,1-2433133-2473133,1-2403133-2503133,1-2353133-2553133
ggact.1,NC_007112.7,2454140,2457526,-,2457526,2447526,2467526,2437526,2477526,2407526,2507526,2357526,2557526,1,1-2447526-2467526,1-2437526-2477526,1-2407526-2507526,1-2357526-2557526
gpc6a,NC_007112.7,2712956,3036206,+,2712956,2702956,2722956,2692956,2732956,2662956,2762956,2612956,2812956,1,1-2702956-2722956,1-2692956-2732956,1-2662956-2762956,1-2612956-2812956
gpc5a,NC_007112.7,3100244,3295045,-,3295045,3285045,3305045,3275045,3315045,3245045,3345045,3195045,3395045,1,1-3285045-3305045,1-3275045-3315045,1-3245045-3345045,1-3195045-3395045
dre-mir-19b,NC_007112.7,3297484,3297570,-,3297570,3287570,3307570,3277570,3317570,3247570,3347570,3197570,3397570,1,1-3287570-3307570,1-3277570-3317570,1-3247570-3347570,1-3197570-3397570
dre-mir-20a,NC_007112.7,3297603,3297755,-,3297755,3287755,3307755,3277755,3317755,3247755,3347755,3197755,3397755,1,1-3287755-3307755,1-3277755-3317755,1-3247755-3347755,1-3197755-3397755
dre-mir-19a,NC_007112.7,3297848,3297936,-,3297936,3287936,3307936,3277936,3317936,3247936,3347936,3197936,3397936,1,1-3287936-3307936,1-3277936-3317936,1-3247936-3347936,1-3197936-3397936
slitrk6,NC_007112.7,4101741,4154332,+,4101741,4091741,4111741,4081741,4121741,4051741,4151741,4001741,4201741,1,1-4091741-4111741,1-4081741-4121741,1-4051741-4151741,1-4001741-4201741
spry2,NC_007112.7,5273494,5277583,+,5273494,5263494,5283494,5253494,5293494,5223494,5323494,5173494,5373494,1,1-5263494-5283494,1-5253494-5293494,1-5223494-5323494,1-5173494-5373494
ndfip2,NC_007112.7,5354489,5394751,-,5394751,5384751,5404751,5374751,5414751,5344751,5444751,5294751,5494751,1,1-5384751-5404751,1-5374751-5414751,1-5344751-5444751,1-5294751-5494751
tuba8l2,NC_007112.7,5402484,5419116,+,5402484,5392484,5412484,5382484,5422484,5352484,5452484,5302484,5502484,1,1-5392484-5412484,1-5382484-5422484,1-5352484-5452484,1-5302484-5502484
stk16,NC_007112.7,5422437,5434261,+,5422437,5412437,5432437,5402437,5442437,5372437,5472437,5322437,5522437,1,1-5412437-5432437,1-5402437-5442437,1-5372437-5472437,1-5322437-5522437
mnx2b,NC_007112.7,5449777,5455502,-,5455502,5445502,5465502,5435502,5475502,5405502,5505502,5355502,5555502,1,1-5445502-5465502,1-5435502-5475502,1-5405502-5505502,1-5355502-5555502
atic,NC_007112.7,5485853,5503665,+,5485853,5475853,5495853,5465853,5505853,5435853,5535853,5385853,5585853,1,1-5475853-5495853,1-5465853-5505853,1-5435853-5535853,1-5385853-5585853
fn1b,NC_007112.7,5504128,5543079,-,5543079,5533079,5553079,5523079,5563079,5493079,5593079,5443079,5643079,1,1-5533079-5553079,1-5523079-5563079,1-5493079-5593079,1-5443079-5643079
cpo,NC_007112.7,5576151,5587130,+,5576151,5566151,5586151,5556151,5596151,5526151,5626151,5476151,5676151,1,1-5566151-5586151,1-5556151-5596151,1-5526151-5626151,1-5476151-5676151
nrp2a,NC_007112.7,5606458,5746030,-,5746030,5736030,5756030,5726030,5766030,5696030,5796030,5646030,5846030,1,1-5736030-5756030,1-5726030-5766030,1-5696030-5796030,1-5646030-5846030
pard3ba,NC_007112.7,5795014,6085749,-,6085749,6075749,6095749,6065749,6105749,6035749,6135749,5985749,6185749,1,1-6075749-6095749,1-6065749-6105749,1-6035749-6135749,1-5985749-6185749
abcb6a,NC_007112.7,6135188,6160856,+,6135188,6125188,6145188,6115188,6155188,6085188,6185188,6035188,6235188,1,1-6125188-6145188,1-6115188-6155188,1-6085188-6185188,1-6035188-6235188
cnppd1,NC_007112.7,6161989,6169817,+,6161989,6151989,6171989,6141989,6181989,6111989,6211989,6061989,6261989,1,1-6151989-6171989,1-6141989-6181989,1-6111989-6211989,1-6061989-6261989
prkag3a,NC_007112.7,6171797,6185520,+,6171797,6161797,6181797,6151797,6191797,6121797,6221797,6071797,6271797,1,1-6161797-6181797,1-6151797-6191797,1-6121797-6221797,1-6071797-6271797
retreg2,NC_007112.7,6189944,6210993,+,6189944,6179944,6199944,6169944,6209944,6139944,6239944,6089944,6289944,1,1-6179944-6199944,1-6169944-6209944,1-6139944-6239944,1-6089944-6289944
mdh1b,NC_007112.7,6218716,6225298,-,6225298,6215298,6235298,6205298,6245298,6175298,6275298,6125298,6325298,1,1-6215298-6235298,1-6205298-6245298,1-6175298-6275298,1-6125298-6325298
fastkd2,NC_007112.7,6221936,6243819,+,6221936,6211936,6231936,6201936,6241936,6171936,6271936,6121936,6321936,1,1-6211936-6231936,1-6201936-6241936,1-6171936-6271936,1-6121936-6321936
gtf3c3,NC_007112.7,6243906,6272146,+,6243906,6233906,6253906,6223906,6263906,6193906,6293906,6143906,6343906,1,1-6233906-6253906,1-6223906-6263906,1-6193906-6293906,1-6143906-6343906
hecw2b,NC_007112.7,6307108,6365957,+,6307108,6297108,6317108,6287108,6327108,6257108,6357108,6207108,6407108,1,1-6297108-6317108,1-6287108-6327108,1-6257108-6357108,1-6207108-6407108
klf7a,NC_007112.7,6398203,6494384,-,6494384,6484384,6504384,6474384,6514384,6444384,6544384,6394384,6594384,1,1-6484384-6504384,1-6474384-6514384,1-6444384-6544384,1-6394384-6594384
si:ch211-93g23.2,NC_007112.7,6640437,6646356,+,6640437,6630437,6650437,6620437,6660437,6590437,6690437,6540437,6740437,1,1-6630437-6650437,1-6620437-6660437,1-6590437-6690437,1-6540437-6740437
ube2f,NC_007112.7,6646509,6664123,+,6646509,6636509,6656509,6626509,6666509,6596509,6696509,6546509,6746509,1,1-6636509-6656509,1-6626509-6666509,1-6596509-6696509,1-6546509-6746509
erbb4a,NC_007112.7,6667353,6930258,+,6667353,6657353,6677353,6647353,6687353,6617353,6717353,6567353,6767353,1,1-6657353-6677353,1-6647353-6687353,1-6617353-6717353,1-6567353-6767353
lancl1,NC_007112.7,7517441,7539719,+,7517441,7507441,7527441,7497441,7537441,7467441,7567441,7417441,7617441,1,1-7507441-7527441,1-7497441-7537441,1-7467441-7567441,1-7417441-7617441
mylz3,NC_007112.7,7546345,7554360,+,7546345,7536345,7556345,7526345,7566345,7496345,7596345,7446345,7646345,1,1-7536345-7556345,1-7526345-7566345,1-7496345-7596345,1-7446345-7646345
pcnp,NC_007112.7,7556965,7561222,+,7556965,7546965,7566965,7536965,7576965,7506965,7606965,7456965,7656965,1,1-7546965-7566965,1-7536965-7576965,1-7506965-7606965,1-7456965-7656965
mxa,NC_007112.7,7562323,7570219,-,7570219,7560219,7580219,7550219,7590219,7520219,7620219,7470219,7670219,1,1-7560219-7580219,1-7550219-7590219,1-7520219-7620219,1-7470219-7670219
mxb,NC_007112.7,7574351,7603573,-,7603573,7593573,7613573,7583573,7623573,7553573,7653573,7503573,7703573,1,1-7593573-7613573,1-7583573-7623573,1-7553573-7653573,1-7503573-7703573
efnb2b,NC_007112.7,7634516,7659569,-,7659569,7649569,7669569,7639569,7679569,7609569,7709569,7559569,7759569,1,1-7649569-7669569,1-7639569-7679569,1-7609569-7709569,1-7559569-7759569
arglu1b,NC_007112.7,7662091,7673376,-,7673376,7663376,7683376,7653376,7693376,7623376,7723376,7573376,7773376,1,1-7663376-7683376,1-7653376-7693376,1-7623376-7723376,1-7573376-7773376
en1b,NC_007112.7,7679328,7683372,+,7679328,7669328,7689328,7659328,7699328,7629328,7729328,7579328,7779328,1,1-7669328-7689328,1-7659328-7699328,1-7629328-7729328,1-7579328-7779328
radil,NC_007112.7,7847423,7894255,-,7894255,7884255,7904255,7874255,7914255,7844255,7944255,7794255,7994255,1,1-7884255-7904255,1-7874255-7914255,1-7844255-7944255,1-7794255-7994255
si:dkeyp-9d4.3,NC_007112.7,8022320,8101633,-,8101633,8091633,8111633,8081633,8121633,8051633,8151633,8001633,8201633,1,1-8091633-8111633,1-8081633-8121633,1-8051633-8151633,1-8001633-8201633
grapb,NC_007112.7,8165340,8192418,-,8192418,8182418,8202418,8172418,8212418,8142418,8242418,8092418,8292418,1,1-8182418-8202418,1-8172418-8212418,1-8142418-8242418,1-8092418-8292418
cacna1hb,NC_007112.7,8304580,8409888,+,8304580,8294580,8314580,8284580,8324580,8254580,8354580,8204580,8404580,1,1-8294580-8314580,1-8284580-8324580,1-8254580-8354580,1-8204580-8404580
syngr3b,NC_007112.7,8415983,8428760,-,8428760,8418760,8438760,8408760,8448760,8378760,8478760,8328760,8528760,1,1-8418760-8438760,1-8408760-8448760,1-8378760-8478760,1-8328760-8528760
myo15ab,NC_007112.7,8433980,8507230,+,8433980,8423980,8443980,8413980,8453980,8383980,8483980,8333980,8533980,1,1-8423980-8443980,1-8413980-8453980,1-8383980-8483980,1-8333980-8533980
alkbh5,NC_007112.7,8508753,8516591,+,8508753,8498753,8518753,8488753,8528753,8458753,8558753,8408753,8608753,1,1-8498753-8518753,1-8488753-8528753,1-8458753-8558753,1-8408753-8608753
mief2,NC_007112.7,8521323,8530516,+,8521323,8511323,8531323,8501323,8541323,8471323,8571323,8421323,8621323,1,1-8511323-8531323,1-8501323-8541323,1-8471323-8571323,1-8421323-8621323
smcr8b,NC_007112.7,8534698,8540045,+,8534698,8524698,8544698,8514698,8554698,8484698,8584698,8434698,8634698,1,1-8524698-8544698,1-8514698-8554698,1-8484698-8584698,1-8434698-8634698
zgc:112980,NC_007112.7,8539904,8553291,-,8553291,8543291,8563291,8533291,8573291,8503291,8603291,8453291,8653291,1,1-8543291-8563291,1-8533291-8573291,1-8503291-8603291,1-8453291-8653291
ptcd1,NC_007112.7,8555328,8566567,-,8566567,8556567,8576567,8546567,8586567,8516567,8616567,8466567,8666567,1,1-8556567-8576567,1-8546567-8586567,1-8516567-8616567,1-8466567-8666567
fbxl18,NC_007112.7,8638148,8646941,-,8646941,8636941,8656941,8626941,8666941,8596941,8696941,8546941,8746941,1,1-8636941-8656941,1-8626941-8666941,1-8596941-8696941,1-8546941-8746941
actb1,NC_007112.7,8649102,8652677,-,8652677,8642677,8662677,8632677,8672677,8602677,8702677,8552677,8752677,1,1-8642677-8662677,1-8632677-8672677,1-8602677-8702677,1-8552677-8752677
fscn1b,NC_007112.7,8662489,8670489,+,8662489,8652489,8672489,8642489,8682489,8612489,8712489,8562489,8762489,1,1-8652489-8672489,1-8642489-8682489,1-8612489-8712489,1-8562489-8762489
abcg2b,NC_007112.7,8672947,8692088,-,8692088,8682088,8702088,8672088,8712088,8642088,8742088,8592088,8792088,1,1-8682088-8702088,1-8672088-8712088,1-8642088-8742088,1-8592088-8792088
grin2ab,NC_007112.7,8763723,8917898,-,8917898,8907898,8927898,8897898,8937898,8867898,8967898,8817898,9017898,1,1-8907898-8927898,1-8897898-8937898,1-8867898-8967898,1-8817898-9017898
socs1b,NC_007112.7,8961027,8966251,-,8966251,8956251,8976251,8946251,8986251,8916251,9016251,8866251,9066251,1,1-8956251-8976251,1-8946251-8986251,1-8916251-9016251,1-8866251-9066251
si:ch73-191k20.3,NC_007112.7,8978905,8980597,-,8980597,8970597,8990597,8960597,9000597,8930597,9030597,8880597,9080597,1,1-8970597-8990597,1-8960597-9000597,1-8930597-9030597,1-8880597-9080597
tlr2,NC_007112.7,8983965,8990541,+,8983965,8973965,8993965,8963965,9003965,8933965,9033965,8883965,9083965,1,1-8973965-8993965,1-8963965-9003965,1-8933965-9033965,1-8883965-9083965
prkcba,NC_007112.7,9004731,9074572,+,9004731,8994731,9014731,8984731,9024731,8954731,9054731,8904731,9104731,1,1-8994731-9014731,1-8984731-9024731,1-8954731-9054731,1-8904731-9104731
cacng3a,NC_007112.7,9082207,9096745,+,9082207,9072207,9092207,9062207,9102207,9032207,9132207,8982207,9182207,1,1-9072207-9092207,1-9062207-9102207,1-9032207-9132207,1-8982207-9182207
si:ch211-14k19.8,NC_007112.7,9100447,9115036,-,9115036,9105036,9125036,9095036,9135036,9065036,9165036,9015036,9215036,1,1-9105036-9125036,1-9095036-9135036,1-9065036-9165036,1-9015036-9215036
ndufab1a,NC_007112.7,9118104,9123429,-,9123429,9113429,9133429,9103429,9143429,9073429,9173429,9023429,9223429,1,1-9113429-9133429,1-9103429-9143429,1-9073429-9173429,1-9023429-9223429
palb2,NC_007112.7,9124996,9134055,-,9134055,9124055,9144055,9114055,9154055,9084055,9184055,9034055,9234055,1,1-9124055-9144055,1-9114055-9154055,1-9084055-9184055,1-9034055-9234055
rasd3,NC_007112.7,9144958,9145896,+,9144958,9134958,9154958,9124958,9164958,9094958,9194958,9044958,9244958,1,1-9134958-9154958,1-9124958-9164958,1-9094958-9194958,1-9044958-9244958
plk1,NC_007112.7,9153187,9161695,+,9153187,9143187,9163187,9133187,9173187,9103187,9203187,9053187,9253187,1,1-9143187-9163187,1-9133187-9173187,1-9103187-9203187,1-9053187-9253187
ern2,NC_007112.7,9163844,9195914,-,9195914,9185914,9205914,9175914,9215914,9145914,9245914,9095914,9295914,1,1-9185914-9205914,1-9175914-9215914,1-9145914-9245914,1-9095914-9295914
chtf18,NC_007112.7,9199038,9227201,+,9199038,9189038,9209038,9179038,9219038,9149038,9249038,9099038,9299038,1,1-9189038-9209038,1-9179038-9219038,1-9149038-9249038,1-9099038-9299038
gng13a,NC_007112.7,9227080,9228007,-,9228007,9218007,9238007,9208007,9248007,9178007,9278007,9128007,9328007,1,1-9218007-9238007,1-9208007-9248007,1-9178007-9278007,1-9128007-9328007
si:dkeyp-57d7.4,NC_007112.7,9230981,9231841,-,9231841,9221841,9241841,9211841,9251841,9181841,9281841,9131841,9331841,1,1-9221841-9241841,1-9211841-9251841,1-9181841-9281841,1-9131841-9331841
zgc:136472,NC_007112.7,9234928,9249957,-,9249957,9239957,9259957,9229957,9269957,9199957,9299957,9149957,9349957,1,1-9239957-9259957,1-9229957-9269957,1-9199957-9299957,1-9149957-9349957
ubn1,NC_007112.7,9270015,9277986,-,9277986,9267986,9287986,9257986,9297986,9227986,9327986,9177986,9377986,1,1-9267986-9287986,1-9257986-9297986,1-9227986-9327986,1-9177986-9377986
uncx4.1,NC_007112.7,9290103,9294100,+,9290103,9280103,9300103,9270103,9310103,9240103,9340103,9190103,9390103,1,1-9280103-9300103,1-9270103-9310103,1-9240103-9340103,1-9190103-9390103
micall2b,NC_007112.7,9460010,9486129,-,9486129,9476129,9496129,9466129,9506129,9436129,9536129,9386129,9586129,1,1-9476129-9496129,1-9466129-9506129,1-9436129-9536129,1-9386129-9586129
elfn1b,NC_007112.7,9557196,9715463,+,9557196,9547196,9567196,9537196,9577196,9507196,9607196,9457196,9657196,1,1-9547196-9567196,1-9537196-9577196,1-9507196-9607196,1-9457196-9657196
ugt5b5,NC_007112.7,9626277,9629705,-,9629705,9619705,9639705,9609705,9649705,9579705,9679705,9529705,9729705,1,1-9619705-9639705,1-9609705-9649705,1-9579705-9679705,1-9529705-9729705
ugt5b4,NC_007112.7,9630996,9652696,-,9652696,9642696,9662696,9632696,9672696,9602696,9702696,9552696,9752696,1,1-9642696-9662696,1-9632696-9672696,1-9602696-9702696,1-9552696-9752696
ugt5b2,NC_007112.7,9642846,9652730,-,9652730,9642730,9662730,9632730,9672730,9602730,9702730,9552730,9752730,1,1-9642730-9662730,1-9632730-9672730,1-9602730-9702730,1-9552730-9752730
ugt5b1,NC_007112.7,9645275,9652730,-,9652730,9642730,9662730,9632730,9672730,9602730,9702730,9552730,9752730,1,1-9642730-9662730,1-9632730-9672730,1-9602730-9702730,1-9552730-9752730
mad1l1,NC_007112.7,9740800,9858521,-,9858521,9848521,9868521,9838521,9878521,9808521,9908521,9758521,9958521,1,1-9848521-9868521,1-9838521-9878521,1-9808521-9908521,1-9758521-9958521
pmm2,NC_007112.7,9860381,9866608,+,9860381,9850381,9870381,9840381,9880381,9810381,9910381,9760381,9960381,1,1-9850381-9870381,1-9840381-9880381,1-9810381-9910381,1-9760381-9960381
rgs11,NC_007112.7,9886933,9914630,+,9886933,9876933,9896933,9866933,9906933,9836933,9936933,9786933,9986933,1,1-9876933-9896933,1-9866933-9906933,1-9836933-9936933,1-9786933-9986933
